На 01 июля 2019 года;;;;;;;;;;;;;
Листинг;Дата включения в список;Эмитент;ИНН;Ценная бумага;Тип ценной бумаги;Гос. рег. номер;Дата регистрации;Номинал;Объем;Торговый код;Дата погашения;Дата обращения;Предназначение для квалинвесторов
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Investment Management LLP (ФинЭкс Фандс плс/ФинЭкс Инвестмент Менеджмент ЛЛП);1000000016;Акции биржевого инвестиционного фонда ФинЭкс акций Китая (UCITS ETF, класс акций в долларах США) (FINEX CHINA UCITS ETF (USD Share Class));Акции иностранного биржевого инвестиционного фонда;;;;380 000;FXCN;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Investment Management LLP (ФинЭкс Фандс плс/ФинЭкс Инвестмент Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного биржевого инвестиционного фонда ФинЭкс российских ликвидных еврооблигаций (UCITS ETF) (FinEx Tradable Russian Corporate Bonds UCITS ETF);Акции иностранного биржевого инвестиционного фонда;;;;;FXRB;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Investment Management LLP (ФинЭкс Фандс плс/ФинЭкс Инвестмент Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций Германии (UCITS ETF) (FinEx MSCI Germany UCITS ETF);Акции иностранного биржевого инвестиционного фонда;;;;;FXDE;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Investment Management LLP (ФинЭкс Фандс плс/ФинЭкс Инвестмент Менеджмент ЛЛП);1000000016;Паи/акции Биржевого инвестиционного фонда ФинЭкс российских ликвидных еврооблигаций (UCITS ETF, класс акций в долларах США) (FinEx Tradable Russian Corporate Bonds (UCITS ETF, USD class));Акции иностранного биржевого инвестиционного фонда;;;;;FXRU;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Investment Management LLP (ФинЭкс Фандс плс/ФинЭкс Инвестмент Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций Великобритании (UCITS ETF) (FinEx MSCI United Kingdom UCITS ETF);Акции иностранного биржевого инвестиционного фонда;;;;;FXUK;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Investment Management LLP (ФинЭкс Фандс плс/ФинЭкс Инвестмент Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций Японии (UCITS ETF) (FinEx MSCI Japan UCITS ETF);Акции иностранного биржевого инвестиционного фонда;;;;;FXJP;;;
Первый уровень;09.06.2014;Polymetal International plc (Полиметалл Интернэшнл плс);0010033331;Акции обыкновенные бездокументарные именные;Акции иностранного эмитента;;;;469 506 028;POLY;;;
Первый уровень;09.06.2014;"АК ""АЛРОСА"" (ПАО)";1433000147;акции обыкновенные;Акция обыкновенная;1-03-40046-N;25.08.2011;0.5;7 364 965 630;ALRS;;;
Первый уровень;09.06.2014;"АО ""Волга-Спорт""";5257116711;документарные неконвертируемые процентные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-20468-P;27.01.2011;1000;1 400 000;RU000A0JRJC6;04.04.2022;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;Неконвертируемые документарные купонные облигации на предъявителя серии А18;Облигация корпоративная;4-18-00739-A;27.05.2010;1000;7 000 000;RU000A0JRDY3;15.07.2023;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;неконвертируемые документарные купонные облигации на предъявителя серии А14;Облигация корпоративная;4-14-00739-A;21.04.2009;1000;7 000 000;RU000A0JQAL8;15.05.2023;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;неконвертируемые документарные купонные облигации на предъявителя серии А15;Облигация корпоративная;4-15-00739-A;21.04.2009;1000;7 000 000;RU000A0JQAM6;15.09.2028;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;неконвертируемые документарные купонные облигации на предъявителя серии А16;Облигация корпоративная;4-16-00739-A;27.05.2010;1000;10 000 000;RU000A0JQXG0;15.09.2021;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;Неконвертируемые документарные купонные облигации на предъявителя серии А24;Облигация корпоративная;4-24-00739-A;12.07.2012;1000;6 000 000;RU000A0JTDX1;01.11.2022;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;неконвертируемые документарные купонные облигации на предъявителя серии А25;Облигация корпоративная;4-25-00739-A;12.07.2012;1000;6 000 000;RU000A0JTW83;01.10.2026;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;Неконвертируемые документарные купонные облигации на предъявителя серии А21;Облигация корпоративная;4-21-00739-A;28.04.2011;1000;15 000 000;RU000A0JS488;15.02.2020;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;неконвертируемые документарные купонные облигации на предъявителя серии А17;Облигация корпоративная;4-17-00739-A;27.05.2010;1000;8 000 000;RU000A0JR5F7;15.04.2022;;
Первый уровень;09.06.2014;"АО ""ДОМ.РФ""";7729355614;неконвертируемые документарные купонные облигации на предъявителя серии А20;Облигация корпоративная;4-20-00739-A;27.05.2010;1000;5 000 000;RU000A0JR6S8;15.12.2027;;
